host: SGRL-ESX01
time: 2026-01-10T09:42:08 UTC
GID                  PATH                                                                                                                            
0                    /host
1                    /host/system
2                    /host/vim
3                    /host/iofilters
4                    /host/user
5                    /host/system/minfree
6                    /host/system/retiredmem
7                    /host/system/kernel
8                    /host/system/helper
9                    /host/system/lfhelper
10                   /host/system/drivers
11                   /host/system/ft
12                   /host/system/vmotion
13                   /host/system/svmotion
14                   /host/vim/vmci
15                   /host/vim/vmvisor
16                   /host/vim/vimuser
17                   /host/vim/tmp
18                   /host/system/kernel/vmkBoot
19                   /host/system/kernel/vmkBoot_vmkernel
20                   /host/system/kernel/vmkBoot_module
21                   /host/system/kernel/vmkBoot_pt
22                   /host/system/kernel/vmkBoot_log
23                   /host/system/kernel/vmkLoadESX
24                   /host/system/kernel/CpuSched
25                   /host/system/kernel/LogTerm
26                   /host/system/kernel/Util
27                   /host/system/kernel/Debugger
28                   /host/system/kernel/Dump
29                   /host/system/kernel/SpecialStack
30                   /host/system/kernel/XMap
31                   /host/system/kernel/FW
32                   /host/system/kernel/CPUHV
33                   /host/system/kernel/MemNode
34                   /host/system/kernel/MPage
35                   /host/system/kernel/Kseg
36                   /host/system/kernel/MemMapCritical
37                   /host/system/kernel/PRDA
38                   /host/system/kernel/DataSectionMgr
39                   /host/system/kernel/MicrocodeUpdate
40                   /host/system/kernel/MemMapBuddy
41                   /host/system/kernel/SVGAConsole
42                   /host/system/kernel/MemMapIOProt
43                   /host/system/kernel/PShare
44                   /host/system/kernel/WorldDefault
45                   /host/system/kernel/WorldTable
46                   /host/system/kernel/HeapMgr
47                   /host/system/kernel/KernelSegments
48                   /host/system/kernel/Timer
49                   /host/system/kernel/VAArray
50                   /host/system/kernel/Asan
51                   /host/system/kernel/HardwareHeap
52                   /host/system/kernel/BH
53                   /host/system/kernel/CpuMetrics
54                   /host/system/kernel/SchedTree
55                   /host/system/kernel/MemSched
56                   /host/system/kernel/MemSchedPolicy
57                   /host/system/kernel/MemSchedRealloc
58                   /host/system/kernel/MemSchedKmem
59                   /host/system/kernel/SwapGlobal
60                   /host/system/kernel/SwapGlobalBitmap
61                   /host/system/kernel/VOB
62                   /host/system/kernel/Mod
63                   /host/system/kernel/Interrupts
64                   /host/system/kernel/NetGP
65                   /host/system/kernel/Vlance
66                   /host/system/kernel/Vmxnet2
67                   /host/system/kernel/VmkApiBH
68                   /host/system/kernel/VobAPI
69                   /host/system/kernel/IntrCookie
70                   /host/system/kernel/VMKStress
71                   /host/system/kernel/IntrVector
72                   /host/system/kernel/LockStats
73                   /host/system/kernel/VmkPerf
74                   /host/system/kernel/VmkEvent
75                   /host/system/kernel/NUMASched
76                   /host/system/kernel/ACPI
77                   /host/system/kernel/BufferCache
78                   /host/system/kernel/MemRO
79                   /host/system/kernel/EventHisto
80                   /host/system/kernel/Reboot
81                   /host/system/kernel/Init
82                   /host/system/kernel/CpuidInfo
83                   /host/system/kernel/Config
84                   /host/system/kernel/MemXferFs
85                   /host/system/kernel/HardwareSMBIOS
86                   /host/system/kernel/SMP
87                   /host/system/kernel/physMem
88                   /host/system/kernel/heap:VsiHeap+0x0
89                   /host/system/kernel/numaCodeRep
90                   /host/system/kernel/heap:refCount+0x1
91                   /host/system/kernel/heap:VmkAccessDomainTableHeap+0x2
92                   /host/system/kernel/VmkAccessDomainHeapPagePool
93                   /host/system/kernel/heap:vmkaccessLog+0x3
94                   /host/system/kernel/heap:AddrSpace+0x4
95                   /host/system/kernel/addrSpacePagePool
96                   /host/system/kernel/WorldStore
97                   /host/system/kernel/WorldStore-pt
98                   /host/system/kernel/heap:pws+0x5
99                   /host/system/kernel/heap:FastSlabHeap+0x6
100                  /host/system/kernel/FastSlab-pt
101                  /host/system/kernel/CpuSchedRelation_CommInfoSlab-0x43010ee370c0
102                  /host/system/kernel/heap:reaperHeap+0x7
103                  /host/system/kernel/heap:identity+0x8
104                  /host/system/kernel/heap:worldWide+0x9
105                  /host/system/kernel/vmmBlob
106                  /host/system/kernel/heap:CpuTopologyHeap+0xa
108                  /host/system/kernel/heap:MCEHeap+0xc
109                  /host/system/kernel/heap:logHeap+0xd
110                  /host/system/kernel/heap:tlbFCHeap+0xe
111                  /host/system/kernel/vmkStats-pt
112                  /host/system/kernel/heap:nmiHeap+0xf
113                  /host/system/kernel/BadMPNBitmap
114                  /host/system/kernel/heap:tpmEventLog+0x10
115                  /host/system/kernel/asyncTokenSlab-0x43010ee373c0
116                  /host/system/kernel/asyncTokenFrameSlab-0x43010ee376c0
117                  /host/system/kernel/heap:vmkMemPool+0x11
118                  /host/system/kernel/heap:rpc+0x12
119                  /host/system/kernel/heap:DMAMappers+0x13
120                  /host/system/kernel/heap:DMADeviceHeap+0x14
121                  /host/system/kernel/heap:DMAEngineHeap+0x15
122                  /host/system/kernel/heap:NCS_Heap+0x16
123                  /host/system/kernel/heap:NetWorldStats+0x17
124                  /host/system/kernel/heap:IOChainHeap+0x18
125                  /host/system/kernel/heap:netEventHeap+0x19
126                  /host/system/kernel/heap:pktAttr+0x1a
127                  /host/system/kernel/NetPktAttrSlab(64B)-0x43010ee379c0
128                  /host/system/kernel/NetPktAttrSlab(256B)-0x43010ee37cc0
129                  /host/system/kernel/NetPktAttrSlab(512B)-0x43010ef38040
130                  /host/system/kernel/NetPktHandleSlab
131                  /host/system/kernel/heap:NetPktHeapLow+0x1b
132                  /host/system/kernel/heap:NetPktHeapAny+0x1c
133                  /host/system/kernel/netPktPagePool
134                  /host/system/kernel/heap:netPktPageCache+0x1d
135                  /host/system/kernel/heap:portsetHeap+0x1e
136                  /host/system/kernel/heap:netCoalesce2Heap+0x1f
137                  /host/system/kernel/heap:netNDiscHeap+0x20
138                  /host/system/kernel/heap:e1000Heap+0x21
139                  /host/system/kernel/heap:portClientHeap+0x22
140                  /host/system/kernel/heap:netsched+0x23
141                  /host/system/kernel/heap:uplinkHeap+0x24
142                  /host/system/kernel/heap:netqueueBal+0x25
143                  /host/system/kernel/vmxnewith gePoolt3
144                  /host/system/kernel/heap:vmxnet3Heap+0x26
145                  /host/system/kernel/heap:vmxnet3TxdHeap+0x27
146                  /host/system/kernel/heap:vmxnet3PktSteeringHeap+0x28
147                  /host/system/kernel/vmxnet3Fastslab-0x43010ef3ad40
148                  /host/system/kernel/heap:PktCap+0x29
149                  /host/system/kernel/heap:storageHeap+0x2a
150                  /host/system/kernel/heap:TaskMgmtCB-heap+0x2b
151                  /host/system/kernel/heap:scsiSwapEmerg-heap+0x2c
152                  /host/system/kernel/ScsiCmd-0x43010ef3b040
153                  /host/system/kernel/ScsiSense-0x43010ef3b340
154                  /host/system/kernel/ScsiStorage
155                  /host/system/kernel/ScsiFragmentFrameSlab-0x43010ef3b640
156                  /host/system/kernel/ScsiSplitInfoSlab-0x43010ef3b940
157                  /host/system/kernel/sgArray8-0x43010ef3bc40
158                  /host/system/kernel/sgArray20-0x43010ef3bf40
159                  /host/system/kernel/sgArray56-0x43010ef3c240
160                  /host/system/kernel/sgArray128-0x43010ef3c540
161                  /host/system/kernel/sgArray200-0x43010ef3c840
162                  /host/system/kernel/sgArray392-0x43010ef3cb40
163                  /host/system/kernel/sgArray812-0x43010ef3ce40
164                  /host/system/kernel/heap:scsiCommandHeap+0x2d
165                  /host/system/kernel/scsiCommandSlab20-0x43010ef3d140
166                  /host/system/kernel/scsiCommandSlab79-0x43010ef3d440
167                  /host/system/kernel/scsiCommandSlab164-0x43010ef3d740
168                  /host/system/kernel/scsiCommandSlab335-0x43010ef3da40
169                  /host/system/kernel/scsiCommandSlab505-0x43010ef3dd40
171                  /host/system/kernel/heap:numaLatency+0x2e
172                  /host/system/kernel/heap:directMapModifyMapAttr+0x2f
173                  /host/system/kernel/heap:rcuHeap+0x30
175                  /host/system/kernel/heap:devfs+0x31
176                  /host/system/kernel/heap:HELPER_IMMEDIATE_QUEUE+0x32
177                  /host/system/kernel/heap:HELPER_MISC_QUEUE+0x33
178                  /host/system/kernel/heap:HELPER_VMFS_JOURNAL_QUEUE+0x34
179                  /host/system/kernel/heap:HELPER_LVM_DRIVER_QUEUE+0x35
180                  /host/system/kernel/heap:HELPER_VMXNET2_MISC_QUEUE+0x36
181                  /host/system/kernel/heap:HELPER_SWAP_QUEUE+0x37
182                  /host/system/kernel/heap:HELPER_LLSWAP_QUEUE+0x38
183                  /host/system/kernel/heap:HELPER_MEMSCHED_QUEUE+0x39
184                  /host/system/kernel/heap:HELPER_SCSI_QUEUE+0x3a
185                  /host/system/kernel/heap:HELPER_E1000_PAGE_IN_QUEUE+0x3b
186                  /host/system/kernel/heap:HELPER_LVM_ASYNCIO_QUEUE+0x3c
187                  /host/system/kernel/heap:HELPER_UPLINK_ASYNC_CALL_QUEUE+0x3d
188                  /host/system/kernel/heap:HELPER_NETWORK_MISC_QUEUE+0x3e
189                  /host/system/kernel/heap:HELPER_WATCHDOG_QUEUE+0x3f
190                  /host/system/kernel/heap:HELPER_MISC_INFRA_QUEUE+0x40
191                  /host/system/kernel/heap:HELPER_VMXNET3_PT_QUEUE+0x41
192                  /host/system/kernel/heap:HELPER_VMXNET3_STATS_QUEUE+0x42
193                  /host/system/kernel/heap:HELPER_PT_MANAGER_QUEUE+0x43
194                  /host/system/kernel/heap:HELPER_PAGERETIRE_QUEUE+0x44
