
 USER-WORLD STATS: Sat Jan 10 09:42:08 2026
 ------------------------------------------
   Start Group ID   : 0
   No. of levels    : 12
   Unit             : KB
   Inclusion filter : (all)
   Exclusion filter : (none)
   Selected columns : (all)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                type                 name   schedGrp parSchedGroup   worldGrp        min        max   minLimit     shares  totalResv pinnedResv memSizeLimit    memSize  memBStore swapBStore     mapped    touched  swappable        cow   pageable pageableUnacct     pinned prealloced        shm   allocTgt   consumed    swapTgt    swapped useReliableMem swapScope
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  uw         dcui.2099541      10409           780    2099541          0         -1         -1         -3      15900          0           -4      15900      15900          0       3928        784       3928          0          0              0          0          0          0       4320       3928          0          0              n         0
                  uw           sh.2098868       5894           784    2098868          0         -1         -1         -3        804          0           -4        804        804          0        176        140         44        132          0              0          0          0          0        192        176          0          0              n         0
                  uw        hostd.2098878       5974           784    2098878          0         -1         -1         -3      90132          0           -4      90132      90132          0      61128      29052      61128          0          8            496          0          0          0      67240      61128          0          0              n         2
                  uw           sh.2098889       6055           784    2098889          0         -1         -1         -3        804          0           -4        804        804          0        172        136         44        128          0              0          0          0          0        188        172          0          0              n         0
                  uw   rhttpproxy.2098898       6127           784    2098898          0         -1         -1         -3      13108          0           -4      13108      13108          0       5200       2272       5200          0          0            668          0          0          0       5720       5200          0          0              n         2
                  uw           sh.2098815       5531           796    2098815          0         -1         -1         -3        804          0           -4        804        804          0        172        136         44        128          0              0          0          0          0        188        172          0          0              n         0
                  uw hostdCgiServer.2098824     5603           796    2098824          0         -1         -1         -3      17452          0           -4      17452      17452          0       9952        664       9952          0          0            628          0          0          0      10944       9952          0          0              n         0
                  uw         init.2097557        622           798    2097557          0         -1         -1         -3       2336          0           -4       2336       2336          0        132        112         24        108          0              0          0          0          0        144        132          0          0              y         0
                  uw      busybox.2098360       2638           798    2098360          0         -1         -1         -3        840          0           -4        840        840          0        156        156         52        104          0              0          0          0          0        168        156          0          0              n         0
                  uw      busybox.2098452       2845           798    2098452          0         -1         -1         -3        840          0           -4        840        840          0        144        132         12        132          0              0          0          0          0        156        144          0          0              n         0
                  uw           sh.2097912       2179           799    2097912          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw     net-lacp.2097922       2259           799    2097922          0         -1         -1         -3       3408          0           -4       3408       3408          0       1520         36       1520          0          0             48          0          0          0       1672       1520          0          0              n         0
                  uw           sh.2099033       6992           800    2099033          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw      net-lbt.2099042       7064           800    2099042          0         -1         -1         -3       4052          0           -4       4052       4052          0       2652        196       2652          0          0              0          0          0          0       2916       2652          0          0              n         0
                  uw    vmsyslogd.2097611       1119           803    2097611          0         -1         -1         -3      12716          0           -4      12716      12716          0      10880      10480        500      10380          0              0          0          0          0      11968      10880          0          0              n         0
                  uw    vmsyslogd.2097612       1127           803    2097612          0         -1         -1         -3      17248          0           -4      17248      17248          0      13068       8256       6832       6236          0              0          0          0          0      14372      13068          0          0              n         0
                  uw           sh.2099207       8264           805    2099207          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw         dcbd.2099216       8336           805    2099216          0         -1         -1         -3       4432          0           -4       4432       4432          0       2968         40       2968          0          0             24          0          0          0       3264       2968          0          0              n         0
                  uw           sh.2099225       8400           805    2099225          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw      net-cdp.2099234       8472           805    2099234          0         -1         -1         -3        628          0           -4        628        628          0         88         16         88          0          0              0          0          0          0         96         88          0          0              n         0
                  uw           sh.2099275       8760           810    2099275          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw     nicmgmtd.2099284       8832           810    2099284          0         -1         -1         -3       4052          0           -4       4052       4052          0       2652        528       2652          0          0              0          0          0          0       2916       2652          0          0              n         0
