
 Userworld Resource Statistics
 -----------------------------
  Start Group Id         : 0
  Number of levels       : 12
  Selected resources     : all (nFile:nSock:nSockInet:nSockLocal:nThread:nSem:nInodes)
  Skipped resources      : none
  Enforcement level      : warning
  Number of userspaces   : 1
  Selected userspace Id  : 1

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       nFile                nSock              nSockInet           nSockLocal             nThread               nSem                nInodes       
                                                                -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
   group                             name   parent children enf    cur   peak    max    cur   peak    max    cur   peak    max    cur   peak    max    cur   peak    max    cur   peak    max    cur   peak    max
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       0                             host                 3   w    809   1077           122    170            39     98            83    110           231    247             2      2           525    527       
       1                           system        0        0   w      0      0             0      0             0      0             0      0             0      0             0      0             0      0       
       2                              vim        0        1   w    809   1077           122    170            39     98            83    110           231    247             2      2           525    527       
       4                          vmvisor        2       54   w    809   1077           122    170            39     98            83    110           231    247             2      2           525    527       
       5                     init.2097557        4            w      4      5   1024      0      1             0      0             0      1             1      1   8192      0      0             1      1       
      59                vmsyslogd.2097611        4            w      6      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
      60                vmsyslogd.2097612        4            w     58     59    256      2      2             0      0             2      2             5      5   4096      0      0            51     51       
      68                       sh.2097623        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
      79                     vobd.2097635        4            w     68     69    256      4      5             0      0             4      5            20     22   4096      0      0             0      0       
      83                       sh.2097659        4            w      4      7    256      0      1             0      0             0      1             1      1   4096      0      0             1      1       
      90                vmkeventd.2097666        4            w      9     11    256      1      1             0      0             1      1             1      1   4096      0      0             1      1       
     118                vmkdevmgr.2097780        4            w      7      9    256      2      3             0      0             2      3             1      1   4096      0      0             0      2       
     181                       sh.2097912        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     191                 net-lacp.2097922        4            w      6      6    256      2      2             0      0             2      2             3      3   4096      0      0             0      0       
     232                  busybox.2098360        4            w      4      6    256      1      1             0      0             1      1             1      1   4096      0      0             1      1       
     255                  busybox.2098452        4            w      8     10    256      5      6             4      5             1      2             1      1   4096      0      0             1      1       
     389                       sh.2098605        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     399     vmware-usbarbitrator.2098615        4            w     13     15    414      5      7             0      0             5      7             1      1   4096      0      0             1      1       
     432                       sh.2098650        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     442         ioFilterVPServer.2098660        4            w      9     12    256      3      5             1      3             2      3             2      2   4096      0      0             1      3       
     474                       sh.2098693        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     484                 swapobjd.2098703        4            w      5      6    256      2      2             0      0             2      2             1      1   4096      0      0             0      0       
     588                       sh.2098815        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     597           hostdCgiServer.2098824        4            w     10     19    256      3      8             2      7             1      4            15     15   4096      0      0             0      0       
     633                       sh.2098868        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     643                    hostd.2098878        4            w     38     87   3840     22     39             9     28            13     18            35     36   4096      0      0            78     82       
     653                       sh.2098889        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     662               rhttpproxy.2098898        4            w     23     61   1024     14     52            11     49             3      4            23     23   4096      0      0             2      2       
     670                       sh.2098928        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     679             sdrsInjector.2098937        4            w      5      6    256      1      1             0      0             1      1             1      1   4096      0      0             1      1       
     687                       sh.2098945        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     696                storageRM.2098954        4            w      6      7   1024      2      2             0      0             2      2             1      1   4096      0      0             1      1       
     705                       sh.2098963        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     714                  sensord.2098972        4            w      3      4    256      0      0             0      0             0      0             1      1   4096      0      0             0      0       
     770                       sh.2099033        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     779                  net-lbt.2099042        4            w      4      5    256      0      0             0      0             0      0             1      1   4096      0      0             0      0       
     921                     slpd.2099199        4            w      7     10    256      7      8             5      5             2      3             1      1   4096      0      0             1      1       
     929                       sh.2099207        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     938                     dcbd.2099216        4            w      8      9    256      3      3             0      0             3      3             1      1   4096      0      0             0      2       
     946                       sh.2099225        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     955                  net-cdp.2099234        4            w      4      4    256      0      0             0      0             0      0             1      1   4096      0      0             0      0       
     971                       sh.2099250        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
     980                     nscd.2099259        4            w      5      7    256      1      2             0      0             1      2             6      6   4096      0      0             0      0       
     991                       sh.2099275        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
    1000                 nicmgmtd.2099284        4            w      7      7    256      2      2             0      0             2      2             1      1   4096      0      0             1      1       
    1031                       sh.2099316        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
    1040                   smartd.2099325        4            w      6      8    256      1      1             0      0             1      1             1      1   4096      0      0             1      1       
    1048                       sh.2099333        4            w      4      7    256      0      0             0      0             0      0             1      1   4096      0      0             1      1       
    1058                     vpxa.2099343        4            w     22     30    256     11     17             7     12             4      5            38     38   4096      0      0            24     24       
    1196                       sh.2099540        4            w      4      6    256      0      1             0      0             0      1             1      1   4096      0      0             0      0       
    1197                     dcui.2099541        4            w      7      8    256      1      1             0      0             1      1             2      2   4096      0      0             3      5       
    1275                      vmx.2099653        4            w    113    115   4211      9     11             0      1             9     11             6      6   4096      0      0             5      6       
    1406                      vmx.2099800        4            w    125    127   5591      8      8             0      1             8      8            19     19   4096      0      0             5      6       
    2147                      vmx.2100898        4            w    118    121   4211      9      9             0      1             9      9             7      7   4096      0      0             5      6       
    2757                   python.2102690        4            w      9     20    256      1      2             0      0             1      2            10     11   4096      0      0             0      0       
    3758                    lsusb.2104161        4            w      6     11    256      0      1             0      0             0      1             1      1   4096      0      0             0      0       
    3763                   python.2104171        4            w      3     11    256      0      1             0      0             0      1             1      1   4096      0      0             0      0       
    3764                  uwstats.2104173        4            w      3     12    256      0      1             0      0             0      1             1      1   4096      0      0             0      0       
       3                             user        0        0   w      0      0             0      0             0      0             0      0             0      0             0      0             0      0       
