
VMK_ReturnStatus table for VMware ESX, Build #19195723
Name                                        Dec          Hex           errno equiv     Description
-------------------------------------------------------------------------------------------------------------------------------------------------------------
VMK_OK                                      0            0             OK              Success
VMK_FAILURE                                 195887105    0xbad0001     EINVAL          Failure
VMK_WOULD_BLOCK                             195887106    0xbad0002     EAGAIN          Would block
VMK_NOT_FOUND                               195887107    0xbad0003     ENOENT          Not found
VMK_BUSY                                    195887108    0xbad0004     EBUSY           Busy
VMK_EXISTS                                  195887109    0xbad0005     EEXIST          Already exists
VMK_LIMIT_EXCEEDED                          195887110    0xbad0006     EFBIG           Limit exceeded
VMK_BAD_PARAM                               195887111    0xbad0007     EINVAL          Bad parameter
VMK_METADATA_READ_ERROR                     195887112    0xbad0008     EIO             Metadata read error
VMK_METADATA_WRITE_ERROR                    195887113    0xbad0009     EIO             Metadata write error
VMK_IO_ERROR                                195887114    0xbad000a     EIO             I/O error
VMK_READ_ERROR                              195887115    0xbad000b     EIO             Read error
VMK_WRITE_ERROR                             195887116    0xbad000c     EIO             Write error
VMK_INVALID_NAME                            195887117    0xbad000d     ENAMETOOLONG    Invalid name
VMK_INVALID_HANDLE                          195887118    0xbad000e     EBADF           Invalid handle
VMK_INVALID_ADAPTER                         195887119    0xbad000f     ENODEV          No such SCSI adapter
VMK_INVALID_TARGET                          195887120    0xbad0010     ENODEV          No such target on adapter
VMK_INVALID_PARTITION                       195887121    0xbad0011     ENXIO           No such partition on target
VMK_INVALID_FS                              195887122    0xbad0012     ENXIO           No filesystem on the device
VMK_INVALID_MEMMAP                          195887123    0xbad0013     EFAULT          Memory map mismatch
VMK_NO_MEMORY                               195887124    0xbad0014     ENOMEM          Out of memory
VMK_NO_MEMORY_RETRY                         195887125    0xbad0015     ENOMEM          Out of memory (ok to retry)
VMK_NO_LPAGE_MEMORY                         195887126    0xbad0016     ENOMEM          Out of large pages
VMK_NO_RESOURCES                            195887127    0xbad0017     ENOMEM          Out of resources
VMK_NO_FREE_HANDLES                         195887128    0xbad0018     EMFILE          No free handles
VMK_NUM_HANDLES_EXCEEDED                    195887129    0xbad0019     ENFILE          Exceeded maximum number of allowed handles
VMK_DEPRECATED_NO_FREE_PTR_BLOCKS           195887130    0xbad001a     ENOSPC          No free pointer blocks (deprecated)
VMK_DEPRECATED_NO_FREE_DATA_BLOCKS          195887131    0xbad001b     ENOSPC          No free data blocks (deprecated)
VMK_CORRUPT_REDOLOG                         195887132    0xbad001c     EBADF           Corrupt RedoLog
VMK_STATUS_PENDING                          195887133    0xbad001d     EAGAIN          Status pending
VMK_STATUS_FREE                             195887134    0xbad001e     EAGAIN          Status free
VMK_UNSUPPORTED_CPU                         195887135    0xbad001f     ENODEV          Unsupported CPU
VMK_NOT_SUPPORTED                           195887136    0xbad0020     ENOSYS          Not supported
VMK_TIMEOUT                                 195887137    0xbad0021     ETIMEDOUT       Timeout
VMK_READ_ONLY                               195887138    0xbad0022     EROFS           Read only
VMK_RESERVATION_CONFLICT                    195887139    0xbad0023     EAGAIN          SCSI reservation conflict
VMK_FS_LOCKED                               195887140    0xbad0024     EADDRINUSE      File system locked
VMK_NOT_ENOUGH_SLOTS                        195887141    0xbad0025     ENFILE          Out of slots
VMK_INVALID_ADDRESS                         195887142    0xbad0026     EFAULT          Invalid address
VMK_NOT_SHARED                              195887143    0xbad0027     ENOMEM          Not shared
VMK_SHARED                                  195887144    0xbad0028     ENOMEM          Page is shared
