Name                           Used  Size (kb)
vmkernel                       138   11921    
chardevs                       98    68       
user                           1     3124     
procfs                         2     16       
lfHelper                       1     44       
vsanapi                        1     112      
vsanbase                       0     212      
vprobe                         0     400      
vmkapi_mgmt                    6     28       
iodm                           2     24       
vmkapi_v2_4_0_0_mgmt_shim      0     8        
vmkapi_v2_3_0_0_mgmt_shim      0     8        
vmkapi_v2_2_0_0_mgmt_shim      0     8        
vmkapi_v2_2_0_0_vmkernel_shim  0     84       
vmkapi_v2_4_0_0_vmkernel_shim  0     100      
vmkapi_v2_3_0_0_vmkernel_shim  5     100      
vmkbsd                         2     340      
vmkusb                         9     516      
vmkata                         6     100      
iscsi_trans                    6     88       
iscsi_trans_compat_shim        2     12       
vmkapi_v2_3_0_0_vmklinux_shim  2     12       
vmkplexer                      1     24       
vmklinux_9                     5     676      
qflge                          4     400      
igbn                           2     240      
vmkapi_v2_2_0_0_iscsiInc_shim  0     20       
vmkapi_v2_3_0_0_iscsiInc_shim  0     24       
etherswitch                    1     416      
portcfg                        0     216      
vswitch                        1     336      
netsched_fifo                  7     12       
netsched_hclk                  0     84       
netioc                         0     32       
lb_netqueue_bal                0     32       
vmklinux_9_2_3_0               2     48       
cnic_register                  0     12       
dm                             6     16       
nmp                            16    224      
hpp                            0     52       
vmw_satp_local                 3     20       
vmw_satp_default_aa            0     12       
vmw_psp_lib                    6     12       
vmw_psp_fixed                  4     16       
vmw_psp_rr                     0     28       
vmw_psp_mru                    0     12       
vmci                           5     208      
healthchk                      3     196      
teamcheck                      0     188      
vlanmtucheck                   0     204      
heartbeat                      0     192      
shaper                         0     200      
lldp                           0     28       
cdp                            6     216      
ipfix                          0     240      
tcpip4                         1     1472     
dvsdev                         0     16       
dvfilter                       6     160      
lacp                           3     64       
drbg                           0     152      
vmkapi_v2_4_0_0_dvfilter_shim  0     8        
vmkapi_v2_2_0_0_dvfilter_shim  0     8        
vmkapi_v2_3_0_0_dvfilter_shim  0     8        
megaraid_sas                   1     100      
esxfw                          1     200      
crypto_fips                    9     192      
dvfilter-generic-fastpath      0     224      
vmkibft                        0     32       
vmkfbft                        0     24       
vfat                           3     60       
lvmdriver                      1     164      
deltadisk                      4     276      
vdfm                           1     24       
gss                            1     172      
vmfs3                          1     1564     
sunrpc                         2     136      
vmklink_mpi                    2     36       
swapobj                        1     56       
nfsclient                      0     156      
nfs41client                    0     480      
pciPassthru                    0     76       
vflash                         1     64       
filtmod                        0     92       
procMisc                       0     8        
vmkapei                        0     48       
nrdma                          4     392      
nrdma_vmkapi_shim              3     12       
vmkapi_v2_4_0_0_rdma_shim      0     12       
vmkapi_v2_3_0_0_rdma_shim      0     12       
ipmi                           2     92       
vmkapi_v2_3_0_0_nmp_shim       0     8        
vmkapi_v2_4_0_0_nmp_shim       0     8        
vmkapi_v2_2_0_0_nmp_shim       0     8        
vmkapi_v2_4_0_0_iscsi_shim     0     12       
vmkapi_v2_3_0_0_iscsi_shim     0     8        
vmkapi_v2_2_0_0_iscsi_shim     0     8        
vrdma                          3     148      
balloonVMCI                    2     8        
hbr_filter                     2     212      
ftcpt                          0     324      
svmmirror                      1     56       
cbt                            0     16       
migrate                        2     544      
vfc                            0     164      
